,Total Subscribers,Subscriptions up For Renewal,Successful Renewals,Net Revenue ($000s),Salaries & Benefits ($000s),Hosting Costs ($000s),Customer Acquisiton Costs ($000s),Operating Income ($000s)
1/1/2018,20,0,0,0.3998,-50,-0.043,-2,-51.6432
2/1/2018,42,0,0,0.83958,-50,-0.077,-2.2,-51.43742
3/1/2018,67,0,0,1.33933,-50,-0.143,-2.5,-51.30367
4/1/2018,95,0,0,1.89905,-50,-0.154,-2.8,-51.05495
5/1/2018,127,0,0,2.53873,-50,-0.257,-3.2,-50.91827
6/1/2018,164,0,0,3.27836,-50,-0.322,-3.7,-50.74364
7/1/2018,207,0,0,4.13793,-75,-0.299,-4.3,-75.46107
8/1/2018,258,0,0,5.15742,-75,-0.549,-5.1,-75.49158
9/1/2018,319,0,0,6.37681,-75,-0.679,-6.1,-75.40219
10/1/2018,393,0,0,7.85607,-75,-0.673,-7.4,-75.21693
11/1/2018,484,0,0,9.67516,-75,-0.819,-9.1,-75.24384
12/1/2018,597,0,0,11.93403,-75,-1.064,-11.3,-75.42997
1/1/2019,720,20,2,14.3924002,-100,-1.36,-14.1,-101.0675998
2/1/2019,876,22,2,17.5104404,-100,-1.783,-17.6,-101.8725596
3/1/2019,1073,25,3,21.4478707,-100,-2.219,-21.9,-102.6711293
4/1/2019,1325,28,9,26.47368579,-100,-2.425,-27.1,-103.0513142
5/1/2019,1638,32,11,32.71513399,-100,-3.517,-33.4,-104.201866
6/1/2019,2023,37,11,40.4023221,-100,-3.914,-41.1,-104.6116779
7/1/2019,2499,43,16,49.87862716,-200,-4.068,-50.3,-204.4893728
8/1/2019,3081,51,19,61.46963024,-200,-5.693,-61.4,-205.6233698
9/1/2019,3789,61,22,75.57769511,-200,-7.264,-74.7,-206.3863049
10/1/2019,4647,74,26,92.68705499,-200,-8.962,-90.6,-206.874945
11/1/2019,5686,91,35,113.3730276,-200,-9.269,-109.5,-205.3959724
12/1/2019,6935,113,43,138.2357022,-200,-11.08,-131.9,-204.7442978
1/1/2020,8432,143,57,167.9681615,-300,-14.814,-158.3,-305.1458385
2/1/2020,10199,178,69,203.1102382,-300,-18.613,-187.6,-303.1027618
3/1/2020,12263,222,91,244.0773568,-300,-18.822,-219.5,-294.2446432
4/1/2020,14636,280,118,291.0649087,-400,-21.527,-253.5,-383.9620913
5/1/2020,17327,345,146,344.3018441,-400,-31.568,-289,-376.2661559
6/1/2020,20331,422,175,403.661116,-400,-40.332,-325.1,-361.770884
7/1/2020,23643,519,222,468.8788342,-450,-41.308,-360.9,-383.3291658
8/1/2020,27247,633,285,539.407713,-450,-53.836,-395.2,-359.628287
9/1/2020,31085,769,339,614.4317055,-450,-61.742,-426.8,-324.1102945
10/1/2020,35127,932,429,692.3558312,-450,-52.674,-454.5,-264.8181688
11/1/2020,39280,1130,511,772.3253751,-550,-80.222,-477.2,-335.0966249
12/1/2020,43485,1362,628,852.5151355,-550,-79.083,-493.9,-270.4678645
1/1/2021,47660,1640,777,930.2762924,-600,-95.86,-503.8,-269.3837076
2/1/2021,51776,1945,926,1005.585446,-600,-81.775,-513.5,-189.6895544
3/1/2021,55811,2286,1092,1077.71245,-600,-91.419,-522.9,-136.6065499
4/1/2021,59747,2653,1268,1146.110921,-600,-116.678,-532.1,-102.6670788
5/1/2021,63558,3036,1437,1210.662201,-600,-119.333,-541,-49.67079878
6/1/2021,67238,3426,1610,1272.012003,-700,-92.077,-549.6,-69.6649967
7/1/2021,70850,3831,1865,1329.28467,-750,-105.206,-557.8,-83.72133024
8/1/2021,74325,4237,2055,1382.058315,-750,-120.308,-565.7,-53.94968489
9/1/2021,77707,4607,2257,1431.750323,-750,-100.543,-573.2,8.007322937
10/1/2021,80951,4974,2414,1478.605424,-750,-146.619,-580.4,1.586424078
11/1/2021,84129,5283,2589,1522.932331,-750,-106.669,-587.2,79.06333064
12/1/2021,87253,5567,2755,1563.321018,-750,-156.524,-593.6,63.19701799
